club_profile_user21_team_trace | seed=424242 years=3
trace_team_ids=[1, 2, 3, 4, 5, 7, 11, 12, 13, 14, 15, 18, 19, 21, 25, 26, 27, 29, 33, 38, 46]

=== opening ===
team_id name tag d_tin d_tout d_any d_fa cum_tin cum_tout cum_fa age_mean ovr_mean
1 'エルバード東京' hold - - - - 0 0 0 25.62 66.00
2 '千葉ジャイアンツ' hold - - - - 0 0 0 28.23 71.08
3 '琉球プラチナクラウンズ' hold - - - - 0 0 0 24.08 72.85
4 '宇都宮ブレイバーズ' push - - - - 0 0 0 26.08 67.15
5 '名古屋ハートホエールズ' rebuild - - - - 0 0 0 27.62 68.38
7 '川崎ブレイクライトニング' hold - - - - 0 0 0 26.85 65.31
11 '広島タイガーランズ' push - - - - 0 0 0 26.46 68.85
12 'シンライダーズ渋谷' rebuild - - - - 0 0 0 25.00 68.31
13 '大阪エビーズ' hold - - - - 0 0 0 28.08 67.54
14 '浜松サンダーバーズ' hold - - - - 0 0 0 26.46 64.15
15 '島根カグヅチウィザーズ' hold - - - - 0 0 0 25.54 69.85
18 '仙台46ers' hold - - - - 0 0 0 26.15 68.15
19 '秋田ノースラッキーズ' hold - - - - 0 0 0 25.92 65.00
21 '越谷ガンマズ' hold - - - - 0 0 0 26.23 67.69
25 '滋賀リバーズ' hold - - - - 0 0 0 25.46 68.08
26 '京都ホーネッツ' hold - - - - 0 0 0 25.77 70.62
27 '神戸スパーズ' hold - - - - 0 0 0 26.38 67.23
29 '福岡ファルコンズ' hold - - - - 0 0 0 25.31 65.92
33 '青森ワルツ' hold - - - - 0 0 0 25.69 71.46
38 '奈良ディアーズ' hold - - - - 0 0 0 26.62 67.08
46 '鳥取サキューズ' hold - - - - 0 0 0 25.38 70.38

=== after_season_y1 ===
team_id name tag d_tin d_tout d_any d_fa cum_tin cum_tout cum_fa age_mean ovr_mean
1 'エルバード東京' push 0 0 0 0 0 0 0 25.62 66.00
2 '千葉ジャイアンツ' push 0 0 0 0 0 0 0 28.23 71.08
3 '琉球プラチナクラウンズ' push 0 0 0 0 0 0 0 24.08 72.92
4 '宇都宮ブレイバーズ' push 0 0 0 0 0 0 0 26.08 67.15
5 '名古屋ハートホエールズ' push 0 0 0 0 0 0 0 27.62 68.38
7 '川崎ブレイクライトニング' push 0 0 0 0 0 0 0 26.85 65.31
11 '広島タイガーランズ' push 0 0 0 0 0 0 0 26.46 68.85
12 'シンライダーズ渋谷' push 0 0 0 0 0 0 0 25.00 68.31
13 '大阪エビーズ' rebuild 0 0 0 0 0 0 0 28.08 67.54
14 '浜松サンダーバーズ' push 0 0 0 0 0 0 0 26.46 64.15
15 '島根カグヅチウィザーズ' rebuild 0 0 0 0 0 0 0 25.54 69.85
18 '仙台46ers' push 0 0 0 0 0 0 0 26.15 68.23
19 '秋田ノースラッキーズ' push 0 0 0 0 0 0 0 25.92 65.00
21 '越谷ガンマズ' push 0 0 0 0 0 0 0 26.23 67.69
25 '滋賀リバーズ' push 0 0 0 0 0 0 0 25.46 68.08
26 '京都ホーネッツ' push 0 0 0 0 0 0 0 25.77 70.69
27 '神戸スパーズ' hold 0 0 0 0 0 0 0 26.38 67.23
29 '福岡ファルコンズ' rebuild 0 0 0 0 0 0 0 25.31 65.92
33 '青森ワルツ' hold 0 0 0 0 0 0 0 25.69 71.46
38 '奈良ディアーズ' rebuild 0 0 0 0 0 0 0 26.62 67.08
46 '鳥取サキューズ' push 0 0 0 0 0 0 0 25.38 70.46

=== after_offseason_y1 ===
team_id name tag d_tin d_tout d_any d_fa cum_tin cum_tout cum_fa age_mean ovr_mean
1 'エルバード東京' push 0 0 0 0 0 0 0 26.62 65.92
2 '千葉ジャイアンツ' push 0 0 0 0 0 0 0 29.23 71.08
3 '琉球プラチナクラウンズ' push 0 0 0 0 0 0 0 25.08 73.08
4 '宇都宮ブレイバーズ' push 0 0 0 0 0 0 0 27.08 67.00
5 '名古屋ハートホエールズ' push 1 1 2 0 1 1 0 27.92 68.23
7 '川崎ブレイクライトニング' push 1 1 2 0 1 1 0 28.08 65.23
11 '広島タイガーランズ' push 0 0 0 0 0 0 0 26.83 69.75
12 'シンライダーズ渋谷' push 0 0 0 0 0 0 0 26.00 68.23
13 '大阪エビーズ' rebuild 0 0 0 0 0 0 0 29.08 67.38
14 '浜松サンダーバーズ' push 0 0 0 1 0 0 1 26.15 64.15
15 '島根カグヅチウィザーズ' hold 1 1 2 0 1 1 0 25.85 69.31
18 '仙台46ers' push 0 0 0 0 0 0 0 27.15 68.23
19 '秋田ノースラッキーズ' hold 0 0 0 0 0 0 0 25.45 66.27
21 '越谷ガンマズ' push 0 0 0 0 0 0 0 27.23 67.54
25 '滋賀リバーズ' push 0 0 0 1 0 0 1 25.38 67.15
26 '京都ホーネッツ' push 1 1 2 1 1 1 1 25.08 69.54
27 '神戸スパーズ' push 0 0 0 0 0 0 0 27.38 67.08
29 '福岡ファルコンズ' hold 0 0 0 0 0 0 0 26.31 65.62
33 '青森ワルツ' hold 1 1 2 0 1 1 0 26.69 71.31
38 '奈良ディアーズ' hold 0 0 0 0 0 0 0 27.62 66.85
46 '鳥取サキューズ' hold 0 0 0 0 0 0 0 26.38 70.38

=== after_season_y2 ===
team_id name tag d_tin d_tout d_any d_fa cum_tin cum_tout cum_fa age_mean ovr_mean
1 'エルバード東京' push 0 0 0 0 0 0 0 26.62 65.92
2 '千葉ジャイアンツ' push 0 0 0 0 0 0 0 29.23 71.08
3 '琉球プラチナクラウンズ' push 0 0 0 0 0 0 0 25.08 73.08
4 '宇都宮ブレイバーズ' push 0 0 0 0 0 0 0 27.08 67.00
5 '名古屋ハートホエールズ' push 0 0 0 0 1 1 0 27.92 68.23
7 '川崎ブレイクライトニング' push 0 0 0 0 1 1 0 28.08 65.23
11 '広島タイガーランズ' push 0 0 0 0 0 0 0 26.83 69.75
12 'シンライダーズ渋谷' push 0 0 0 0 0 0 0 26.00 68.23
13 '大阪エビーズ' rebuild 0 0 0 0 0 0 0 29.08 67.38
14 '浜松サンダーバーズ' push 0 0 0 0 0 0 1 26.15 64.15
15 '島根カグヅチウィザーズ' hold 0 0 0 0 1 1 0 25.85 69.31
18 '仙台46ers' push 0 0 0 0 0 0 0 27.15 68.23
19 '秋田ノースラッキーズ' push 0 0 0 0 0 0 0 25.45 66.27
21 '越谷ガンマズ' push 0 0 0 0 0 0 0 27.23 67.54
25 '滋賀リバーズ' hold 0 0 0 0 0 0 1 25.38 67.15
26 '京都ホーネッツ' push 0 0 0 0 1 1 1 25.08 69.54
27 '神戸スパーズ' hold 0 0 0 0 0 0 0 27.38 67.08
29 '福岡ファルコンズ' push 0 0 0 0 0 0 0 26.31 65.62
33 '青森ワルツ' push 0 0 0 0 1 1 0 26.69 71.31
38 '奈良ディアーズ' push 0 0 0 0 0 0 0 27.62 66.85
46 '鳥取サキューズ' push 0 0 0 0 0 0 0 26.38 70.38

=== after_offseason_y2 ===
team_id name tag d_tin d_tout d_any d_fa cum_tin cum_tout cum_fa age_mean ovr_mean
1 'エルバード東京' push 0 0 0 0 0 0 0 26.08 66.38
2 '千葉ジャイアンツ' push 0 0 0 0 0 0 0 28.92 70.92
3 '琉球プラチナクラウンズ' push 0 0 0 0 0 0 0 26.08 73.00
4 '宇都宮ブレイバーズ' push 0 0 0 0 0 0 0 27.54 67.38
5 '名古屋ハートホエールズ' push 0 0 0 0 1 1 0 26.54 68.31
7 '川崎ブレイクライトニング' hold 0 0 0 0 1 1 0 27.46 64.92
11 '広島タイガーランズ' push 0 0 0 3 0 0 3 25.58 68.83
12 'シンライダーズ渋谷' push 1 1 2 0 1 1 0 26.00 68.85
13 '大阪エビーズ' hold 0 0 0 0 0 0 0 28.31 67.77
14 '浜松サンダーバーズ' push 0 0 0 0 0 0 1 26.85 65.31
15 '島根カグヅチウィザーズ' push 0 0 0 0 1 1 0 26.77 69.46
