club_profile_user29_team_trace | seed=424242 years=5
trace_team_ids=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 25, 26, 27, 29, 33, 38, 46]

=== opening ===
team_id name tag d_tin d_tout d_any d_fa cum_tin cum_tout cum_fa age_mean ovr_mean rank_last rw rl
1 'エルバード東京' hold - - - - 0 0 0 25.62 66.00 - 0 0
2 '千葉ジャイアンツ' hold - - - - 0 0 0 28.23 71.08 - 0 0
3 '琉球プラチナクラウンズ' hold - - - - 0 0 0 24.08 72.85 - 0 0
4 '宇都宮ブレイバーズ' push - - - - 0 0 0 26.08 67.15 - 0 0
5 '名古屋ハートホエールズ' rebuild - - - - 0 0 0 27.62 68.38 - 0 0
6 'ビーホークス三河' hold - - - - 0 0 0 24.15 74.77 - 0 0
7 '川崎ブレイクライトニング' hold - - - - 0 0 0 26.85 65.31 - 0 0
8 '群馬ブラックボルツ' hold - - - - 0 0 0 25.62 71.31 - 0 0
9 '長崎パルカンズ' hold - - - - 0 0 0 26.85 70.15 - 0 0
10 '佐賀ブーマーズ' hold - - - - 0 0 0 28.38 65.85 - 0 0
11 '広島タイガーランズ' push - - - - 0 0 0 26.46 68.85 - 0 0
12 'シンライダーズ渋谷' rebuild - - - - 0 0 0 25.00 68.31 - 0 0
13 '大阪エビーズ' hold - - - - 0 0 0 28.08 67.54 - 0 0
14 '浜松サンダーバーズ' hold - - - - 0 0 0 26.46 64.15 - 0 0
15 '島根カグヅチウィザーズ' hold - - - - 0 0 0 25.54 69.85 - 0 0
16 '横浜パイレーツ' hold - - - - 0 0 0 27.23 69.15 - 0 0
17 'アペカムイ北海道' hold - - - - 0 0 0 26.77 69.23 - 0 0
18 '仙台46ers' hold - - - - 0 0 0 26.15 68.15 - 0 0
19 '秋田ノースラッキーズ' hold - - - - 0 0 0 25.92 65.00 - 0 0
20 '茨城メカニックス' hold - - - - 0 0 0 26.31 67.31 - 0 0
21 '越谷ガンマズ' hold - - - - 0 0 0 26.23 67.69 - 0 0
22 'エルトゥール千葉' push - - - - 0 0 0 26.54 67.62 - 0 0
25 '滋賀リバーズ' hold - - - - 0 0 0 25.46 68.08 - 0 0
26 '京都ホーネッツ' hold - - - - 0 0 0 25.77 70.62 - 0 0
27 '神戸スパーズ' hold - - - - 0 0 0 26.38 67.23 - 0 0
29 '福岡ファルコンズ' hold - - - - 0 0 0 25.31 65.92 - 0 0
33 '青森ワルツ' hold - - - - 0 0 0 25.69 71.46 - 0 0
38 '奈良ディアーズ' hold - - - - 0 0 0 26.62 67.08 - 0 0
46 '鳥取サキューズ' hold - - - - 0 0 0 25.38 70.38 - 0 0

=== after_season_y1 ===
team_id name tag d_tin d_tout d_any d_fa cum_tin cum_tout cum_fa age_mean ovr_mean rank_last rw rl
1 'エルバード東京' push 0 0 0 0 0 0 0 25.62 66.00 6 34 26
2 '千葉ジャイアンツ' push 0 0 0 0 0 0 0 28.23 71.08 10 28 32
