club_profile_user29_team_trace | seed=424244 years=5
trace_team_ids=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 25, 26, 27, 29, 33, 38, 46]

=== opening ===
team_id name tag d_tin d_tout d_any d_fa cum_tin cum_tout cum_fa age_mean ovr_mean rank_last rw rl
1 'エルバード東京' hold - - - - 0 0 0 25.31 66.69 - 0 0
2 '千葉ジャイアンツ' hold - - - - 0 0 0 26.85 70.62 - 0 0
3 '琉球プラチナクラウンズ' hold - - - - 0 0 0 26.38 69.00 - 0 0
4 '宇都宮ブレイバーズ' push - - - - 0 0 0 26.69 64.62 - 0 0
5 '名古屋ハートホエールズ' rebuild - - - - 0 0 0 24.69 66.69 - 0 0
6 'ビーホークス三河' hold - - - - 0 0 0 27.31 69.85 - 0 0
7 '川崎ブレイクライトニング' hold - - - - 0 0 0 26.62 69.77 - 0 0
8 '群馬ブラックボルツ' hold - - - - 0 0 0 26.38 65.54 - 0 0
9 '長崎パルカンズ' hold - - - - 0 0 0 24.69 72.69 - 0 0
10 '佐賀ブーマーズ' hold - - - - 0 0 0 28.85 68.77 - 0 0
11 '広島タイガーランズ' push - - - - 0 0 0 26.77 73.46 - 0 0
12 'シンライダーズ渋谷' rebuild - - - - 0 0 0 26.77 66.85 - 0 0
13 '大阪エビーズ' hold - - - - 0 0 0 25.08 69.69 - 0 0
14 '浜松サンダーバーズ' hold - - - - 0 0 0 24.46 66.31 - 0 0
15 '島根カグヅチウィザーズ' hold - - - - 0 0 0 26.46 69.69 - 0 0
16 '横浜パイレーツ' hold - - - - 0 0 0 28.00 70.00 - 0 0
17 'アペカムイ北海道' hold - - - - 0 0 0 25.54 66.08 - 0 0
18 '仙台46ers' hold - - - - 0 0 0 26.69 67.92 - 0 0
19 '秋田ノースラッキーズ' hold - - - - 0 0 0 26.00 65.46 - 0 0
20 '茨城メカニックス' hold - - - - 0 0 0 25.15 71.23 - 0 0
21 '越谷ガンマズ' hold - - - - 0 0 0 26.85 72.15 - 0 0
22 'エルトゥール千葉' push - - - - 0 0 0 25.85 65.31 - 0 0
25 '滋賀リバーズ' hold - - - - 0 0 0 26.23 70.23 - 0 0
26 '京都ホーネッツ' hold - - - - 0 0 0 26.38 68.85 - 0 0
27 '神戸スパーズ' hold - - - - 0 0 0 26.31 67.69 - 0 0
29 '福岡ファルコンズ' hold - - - - 0 0 0 25.77 67.31 - 0 0
33 '青森ワルツ' hold - - - - 0 0 0 25.85 66.77 - 0 0
38 '奈良ディアーズ' hold - - - - 0 0 0 25.31 72.15 - 0 0
46 '鳥取サキューズ' hold - - - - 0 0 0 25.54 73.31 - 0 0

=== after_season_y1 ===
team_id name tag d_tin d_tout d_any d_fa cum_tin cum_tout cum_fa age_mean ovr_mean rank_last rw rl
1 'エルバード東京' push 0 0 0 0 0 0 0 25.31 66.69 14 19 41
2 '千葉ジャイアンツ' push 0 0 0 0 0 0 0 26.85 70.62 5 35 25
3 '琉球プラチナクラウンズ' push 0 0 0 0 0 0 0 26.38 69.00 3 37 23
4 '宇都宮ブレイバーズ' rebuild 0 0 0 0 0 0 0 26.69 64.62 15 18 42
5 '名古屋ハートホエールズ' push 0 0 0 0 0 0 0 24.69 66.69 13 22 38
6 'ビーホークス三河' push 0 0 0 0 0 0 0 27.31 69.85 4 36 24
7 '川崎ブレイクライトニング' push 0 0 0 0 0 0 0 26.62 69.77 11 29 31
8 '群馬ブラックボルツ' rebuild 0 0 0 0 0 0 0 26.38 65.54 16 14 46
9 '長崎パルカンズ' push 0 0 0 0 0 0 0 24.69 72.69 1 42 18
10 '佐賀ブーマーズ' push 0 0 0 0 0 0 0 28.85 68.77 8 33 27
11 '広島タイガーランズ' push 0 0 0 0 0 0 0 26.77 73.46 10 29 31
12 'シンライダーズ渋谷' push 0 0 0 0 0 0 0 26.77 66.85 9 30 30
13 '大阪エビーズ' push 0 0 0 0 0 0 0 25.08 69.69 2 40 20
14 '浜松サンダーバーズ' push 0 0 0 0 0 0 0 24.46 66.31 7 34 26
15 '島根カグヅチウィザーズ' push 0 0 0 0 0 0 0 26.46 69.69 12 28 32
16 '横浜パイレーツ' push 0 0 0 0 0 0 0 28.00 70.00 6 34 26
17 'アペカムイ北海道' rebuild 0 0 0 0 0 0 0 25.54 66.08 16 21 39
18 '仙台46ers' hold 0 0 0 0 0 0 0 26.69 67.92 7 31 29
19 '秋田ノースラッキーズ' hold 0 0 0 0 0 0 0 26.00 65.46 11 29 31
20 '茨城メカニックス' push 0 0 0 0 0 0 0 25.15 71.23 4 35 25
21 '越谷ガンマズ' push 0 0 0 0 0 0 0 26.85 72.15 3 37 23
22 'エルトゥール千葉' push 0 0 0 0 0 0 0 25.85 65.31 5 32 28
25 '滋賀リバーズ' push 0 0 0 0 0 0 0 26.23 70.23 6 32 28
26 '京都ホーネッツ' hold 0 0 0 0 0 0 0 26.38 68.85 9 29 31
27 '神戸スパーズ' hold 0 0 0 0 0 0 0 26.31 67.69 10 29 31
29 '福岡ファルコンズ' hold 0 0 0 0 0 0 0 25.77 67.31 13 25 35
33 '青森ワルツ' rebuild 0 0 0 0 0 0 0 25.85 66.77 15 21 39
38 '奈良ディアーズ' push 0 0 0 0 0 0 0 25.31 72.15 3 38 22
46 '鳥取サキューズ' push 0 0 0 0 0 0 0 25.54 73.31 2 41 19

=== after_offseason_y1 ===
team_id name tag d_tin d_tout d_any d_fa cum_tin cum_tout cum_fa age_mean ovr_mean rank_last rw rl
1 'エルバード東京' hold 1 1 2 0 1 1 0 25.77 66.54 14 0 0
2 '千葉ジャイアンツ' push 0 0 0 0 0 0 0 27.85 70.62 5 0 0
3 '琉球プラチナクラウンズ' push 0 0 0 0 0 0 0 27.38 69.00 3 0 0
4 '宇都宮ブレイバーズ' hold 0 0 0 0 0 0 0 27.69 64.46 15 0 0
5 '名古屋ハートホエールズ' push 0 0 0 0 0 0 0 25.69 66.62 13 0 0
6 'ビーホークス三河' push 1 1 2 0 1 1 0 28.15 69.77 4 0 0
7 '川崎ブレイクライトニング' push 0 0 0 0 0 0 0 27.62 69.62 11 0 0
8 '群馬ブラックボルツ' rebuild 1 1 2 0 1 1 0 27.15 65.23 16 0 0
9 '長崎パルカンズ' push 0 0 0 0 0 0 0 25.69 72.69 1 0 0
