seed=424242  (after generate_teams only; no user swap)

team_id  team_name                    div  band  cpu_start_money        +if_user
     1  エルバード東京                     D1     5     800,000,000     870,000,000
     2  千葉ジャイアンツ                    D1     5     800,000,000     870,000,000
     3  琉球プラチナクラウンズ                 D1     4     550,000,000     620,000,000
     4  宇都宮ブレイバーズ                   D1     4     550,000,000     620,000,000
     5  名古屋ハートホエールズ                 D1     4     550,000,000     620,000,000
     6  ビーホークス三河                    D1     3     380,000,000     450,000,000
     7  川崎ブレイクライトニング                D1     3     380,000,000     450,000,000
     8  群馬ブラックボルツ                   D1     4     550,000,000     620,000,000
     9  長崎パルカンズ                     D1     4     550,000,000     620,000,000
    10  佐賀ブーマーズ                     D1     3     380,000,000     450,000,000
    11  広島タイガーランズ                   D1     4     550,000,000     620,000,000
    12  シンライダーズ渋谷                   D1     3     380,000,000     450,000,000
    13  大阪エビーズ                      D1     3     380,000,000     450,000,000
    14  浜松サンダーバーズ                   D1     3     380,000,000     450,000,000
    15  島根カグヅチウィザーズ                 D1     4     550,000,000     620,000,000
    16  横浜パイレーツ                     D1     3     380,000,000     450,000,000
    17  アペカムイ北海道                    D2     3     380,000,000     450,000,000
    18  仙台46ers                     D2     3     380,000,000     450,000,000
    19  秋田ノースラッキーズ                  D2     2     280,000,000     350,000,000
    20  茨城メカニックス                    D2     2     280,000,000     350,000,000
    21  越谷ガンマズ                      D2     3     380,000,000     450,000,000
    22  エルトゥール千葉                    D2     3     380,000,000     450,000,000
    23  富山グリズリーズ                    D2     2     280,000,000     350,000,000
    24  メタル名古屋                      D2     3     380,000,000     450,000,000
    25  滋賀リバーズ                      D2     3     380,000,000     450,000,000
    26  京都ホーネッツ                     D2     3     380,000,000     450,000,000
    27  神戸スパーズ                      D2     3     380,000,000     450,000,000
    28  信州ブレイクストーンズ                 D2     2     280,000,000     350,000,000
    29  福岡ファルコンズ                    D2     2     280,000,000     350,000,000
    30  熊本バッテリーズ                    D2     3     380,000,000     450,000,000
    31  福島フレイムボムズ                   D2     2     280,000,000     350,000,000
    32  福井ストームズ                     D2     3     380,000,000     450,000,000
    33  青森ワルツ                       D3     2     280,000,000     350,000,000
    34  岩手ベアーズ                      D3     2     280,000,000     350,000,000
    35  山形ドラゴンズ                     D3     2     280,000,000     350,000,000
    36  横浜マーベラス                     D3     3     380,000,000     450,000,000
    37  サミッツ静岡                      D3     3     380,000,000     450,000,000
    38  奈良ディアーズ                     D3     2     280,000,000     350,000,000
    39  愛媛レッドホークス                   D3     2     280,000,000     350,000,000
    40  鹿児島ナイツ                      D3     3     380,000,000     450,000,000
    41  新潟エルトロックス                   D3     3     380,000,000     450,000,000
    42  金沢ニンジャズ                     D3     3     380,000,000     450,000,000
    43  岐阜フォークス                     D3     2     280,000,000     350,000,000
    44  香川スピアーズ                     D3     2     280,000,000     350,000,000
    45  徳島ファイティングス                  D3     2     280,000,000     350,000,000
    46  鳥取サキューズ                     D3     1     200,000,000     270,000,000
    47  埼玉ライバルズ                     D3     3     380,000,000     450,000,000
    48  岡山リングス                      D3     3     380,000,000     450,000,000

Band → CPU opening cash (yen)
  1 → 200,000,000  2 → 280,000,000  3 → 380,000,000  4 → 550,000,000  5 → 800,000,000
  User team: CPU amount + 70,000,000
