initial_roster_realism_inspection seed=424242
teams=48 players=624

=== PLAYER TABLE (tab-separated) ===
team_id	team_name	div	player	age	nat	bucket	OVR	POT	salary	icon
1	エルバード東京	D1	Player_1	18	Japan	日本	58	B	41599281	False
1	エルバード東京	D1	Player_2	18	Japan	日本	70	C	44296073	False
1	エルバード東京	D1	Player_3	35	Japan	日本	68	D	42352842	False
1	エルバード東京	D1	Player_4	27	Japan	日本	80	C	165000000	False
1	エルバード東京	D1	Player_5	33	Asia	アジア/帰化	65	D	103279335	False
1	エルバード東京	D1	Player_6	30	Japan	日本	71	D	44512882	False
1	エルバード東京	D1	Player_7	21	Japan	日本	75	C	92000000	False
1	エルバード東京	D1	Player_8	32	Japan	日本	64	D	42467432	False
1	エルバード東京	D1	Player_9	19	Foreign	外国籍	70	C	55000000	False
1	エルバード東京	D1	Player_10	27	Foreign	外国籍	78	D	225000000	False
1	エルバード東京	D1	Player_11	19	Foreign	外国籍	55	B	55000000	False
1	エルバード東京	D1	Player_12	24	Japan	日本	62	D	41226029	False
1	エルバード東京	D1	Player_13	30	Japan	日本	68	D	43636261	False
2	千葉ジャイアンツ	D1	Player_14	22	Japan	日本	68	B	34991299	False
2	千葉ジャイアンツ	D1	Player_15	32	Foreign	外国籍	74	D	105000000	False
2	千葉ジャイアンツ	D1	Player_16	27	Foreign	外国籍	70	D	105000000	False
2	千葉ジャイアンツ	D1	Player_17	19	Japan	日本	63	C	34000000	False
2	千葉ジャイアンツ	D1	Player_18	27	Japan	日本	71	C	36127782	False
2	千葉ジャイアンツ	D1	Player_19	34	Foreign	外国籍	88	D	176694332	False
2	千葉ジャイアンツ	D1	Player_20	33	Japan	日本	60	D	34000000	False
2	千葉ジャイアンツ	D1	Player_21	25	Japan	日本	85	B	144755139	False
2	千葉ジャイアンツ	D1	Player_22	27	Japan	日本	73	D	34000000	False
2	千葉ジャイアンツ	D1	Player_23	28	Asia	アジア/帰化	75	C	73248564	False
2	千葉ジャイアンツ	D1	Player_24	35	Japan	日本	71	D	34000000	False
2	千葉ジャイアンツ	D1	Player_25	35	Japan	日本	77	D	70000000	False
2	千葉ジャイアンツ	D1	Player_26	23	Japan	日本	75	C	71525068	False
3	琉球プラチナクラウンズ	D1	Player_27	19	Japan	日本	67	C	39100000	False
3	琉球プラチナクラウンズ	D1	Player_28	30	Foreign	外国籍	80	C	216707439	False
3	琉球プラチナクラウンズ	D1	Player_29	20	Foreign	外国籍	84	B	55000000	False
3	琉球プラチナクラウンズ	D1	Player_30	29	Japan	日本	64	C	40017391	False
3	琉球プラチナクラウンズ	D1	Player_31	30	Japan	日本	77	D	80500000	False
3	琉球プラチナクラウンズ	D1	Player_32	28	Japan	日本	70	D	39100000	False
3	琉球プラチナクラウンズ	D1	Player_33	21	Japan	日本	73	B	41645622	False
3	琉球プラチナクラウンズ	D1	Player_34	19	Japan	日本	69	A	41333262	False
3	琉球プラチナクラウンズ	D1	Player_35	24	Japan	日本	79	D	80500000	False
3	琉球プラチナクラウンズ	D1	Player_36	19	Naturalized	アジア/帰化	72	B	55000000	False
3	琉球プラチナクラウンズ	D1	Player_37	30	Foreign	外国籍	75	D	120750000	False
3	琉球プラチナクラウンズ	D1	Player_38	18	Japan	日本	75	C	39670055	False
