initial_roster_realism_inspection seed=424242
teams=48 players=624

=== PLAYER TABLE (tab-separated) ===
team_id	team_name	div	player	age	nat	bucket	OVR	POT	salary	icon
1	エルバード東京	D1	Player_1	18	Japan	日本	58	B	45265469	False
1	エルバード東京	D1	Player_2	18	Japan	日本	70	C	48000000	False
1	エルバード東京	D1	Player_3	35	Japan	日本	68	D	46085440	False
1	エルバード東京	D1	Player_4	27	Japan	日本	80	C	165000000	False
1	エルバード東京	D1	Player_5	33	Asia	アジア/帰化	65	D	112000000	False
1	エルバード東京	D1	Player_6	30	Japan	日本	71	D	48000000	False
1	エルバード東京	D1	Player_7	21	Japan	日本	75	C	92000000	False
1	エルバード東京	D1	Player_8	32	Japan	日本	64	D	46210130	False
1	エルバード東京	D1	Player_9	19	Foreign	外国籍	66	C	55000000	False
1	エルバード東京	D1	Player_10	27	Foreign	外国籍	72	C	225000000	False
1	エルバード東京	D1	Player_11	23	Foreign	外国籍	71	B	225000000	False
1	エルバード東京	D1	Player_12	24	Japan	日本	55	C	46378824	False
1	エルバード東京	D1	Player_13	31	Japan	日本	66	D	47315325	False
2	千葉ジャイアンツ	D1	Player_14	22	Japan	日本	68	B	34514362	False
2	千葉ジャイアンツ	D1	Player_15	32	Foreign	外国籍	74	D	105000000	False
2	千葉ジャイアンツ	D1	Player_16	27	Foreign	外国籍	68	D	105000000	False
2	千葉ジャイアンツ	D1	Player_17	19	Japan	日本	63	C	34000000	False
2	千葉ジャイアンツ	D1	Player_18	27	Japan	日本	71	C	35635355	False
2	千葉ジャイアンツ	D1	Player_19	34	Foreign	外国籍	81	C	181610024	False
2	千葉ジャイアンツ	D1	Player_20	33	Japan	日本	60	D	34000000	False
2	千葉ジャイアンツ	D1	Player_21	25	Japan	日本	85	B	142782101	False
2	千葉ジャイアンツ	D1	Player_22	27	Japan	日本	73	D	34000000	False
2	千葉ジャイアンツ	D1	Player_23	28	Asia	アジア/帰化	75	C	72250173	False
2	千葉ジャイアンツ	D1	Player_24	35	Japan	日本	71	D	34000000	False
2	千葉ジャイアンツ	D1	Player_25	35	Japan	日本	77	D	70000000	False
2	千葉ジャイアンツ	D1	Player_26	23	Japan	日本	75	C	70550169	False
3	琉球プラチナクラウンズ	D1	Player_27	19	Japan	日本	67	C	34880308	False
3	琉球プラチナクラウンズ	D1	Player_28	30	Foreign	外国籍	80	C	193311349	False
3	琉球プラチナクラウンズ	D1	Player_29	20	Foreign	外国籍	71	B	55000000	False
3	琉球プラチナクラウンズ	D1	Player_30	29	Japan	日本	64	C	35698695	False
3	琉球プラチナクラウンズ	D1	Player_31	30	Japan	日本	77	D	71812402	False
3	琉球プラチナクラウンズ	D1	Player_32	28	Japan	日本	70	D	34880309	False
3	琉球プラチナクラウンズ	D1	Player_33	21	Japan	日本	73	B	37151206	False
3	琉球プラチナクラウンズ	D1	Player_34	19	Japan	日本	69	A	36872557	False
3	琉球プラチナクラウンズ	D1	Player_35	24	Japan	日本	79	D	71812402	False
3	琉球プラチナクラウンズ	D1	Player_36	31	Naturalized	アジア/帰化	54	D	159013175	False
3	琉球プラチナクラウンズ	D1	Player_37	30	Foreign	外国籍	73	D	107718603	False
3	琉球プラチナクラウンズ	D1	Player_38	18	Japan	日本	75	C	35388844	False
3	琉球プラチナクラウンズ	D1	Player_39	26	Japan	日本	88	C	149636563	False
4	宇都宮ブレイバーズ	D1	Player_40	22	Foreign	外国籍	64	B	81013207	False
4	宇都宮ブレイバーズ	D1	Player_41	23	Foreign	外国籍	58	C	76762276	False
