offseason_budget_scale_probe | seed=424242 years=3 scales=[1.0, 1.1, 1.2, 1.3] FLOOR_RATIO=1.0 BUFFER=3000000
team_ids=[38, 46, 1, 4, 8, 9, 16, 22, 25, 27]
scaled_cfb = max(base_budget, int(inner_sum * fac * scale)); winner = argmax(scaled_cfb, floor)

phase year tid name cfb floor gap x1.00 x1.10 x1.20 x1.30
-------------------------------------------------------------------------------------------------
post_season y1 38 '奈良ディアーズ' 22110001 563536149 -541426148 floor floor floor floor
post_season y1 46 '鳥取サキューズ' 26407065 514759318 -488352253 floor floor floor floor
post_season y1 1 'エルバード東京' 27241859 992143476 -964901617 floor floor floor floor
post_season y1 4 '宇都宮ブレイバーズ' 28205757 808893072 -780687315 floor floor floor floor
post_season y1 8 '群馬ブラックボルツ' 26559651 1017000000 -990440349 floor floor floor floor
post_season y1 9 '長崎パルカンズ' 27114065 1164904520 -1137790455 floor floor floor floor
post_season y1 16 '横浜パイレーツ' 27945809 1031148402 -1003202593 floor floor floor floor
post_season y1 22 'エルトゥール千葉' 26998628 723778295 -696779667 floor floor floor floor
post_season y1 25 '滋賀リバーズ' 24615619 700564834 -675949215 floor floor floor floor
post_season y1 27 '神戸スパーズ' 24057684 598379333 -574321649 floor floor floor floor
post_offseason y1 38 '奈良ディアーズ' 22110001 563536149 -541426148 floor floor floor floor
post_offseason y1 46 '鳥取サキューズ' 26407065 514759318 -488352253 floor floor floor floor
post_offseason y1 1 'エルバード東京' 27241859 992143476 -964901617 floor floor floor floor
post_offseason y1 4 '宇都宮ブレイバーズ' 28205757 808893072 -780687315 floor floor floor floor
post_offseason y1 8 '群馬ブラックボルツ' 26559651 1017000000 -990440349 floor floor floor floor
post_offseason y1 9 '長崎パルカンズ' 27114065 1164904520 -1137790455 floor floor floor floor
post_offseason y1 16 '横浜パイレーツ' 27945809 995089732 -967143923 floor floor floor floor
post_offseason y1 22 'エルトゥール千葉' 26998628 723778295 -696779667 floor floor floor floor
post_offseason y1 25 '滋賀リバーズ' 24615619 619977920 -595362301 floor floor floor floor
post_offseason y1 27 '神戸スパーズ' 24057684 598379333 -574321649 floor floor floor floor
post_season y2 38 '奈良ディアーズ' 23663069 563536149 -539873080 floor floor floor floor
post_season y2 46 '鳥取サキューズ' 28874967 514759318 -485884351 floor floor floor floor
post_season y2 1 'エルバード東京' 27794663 992143476 -964348813 floor floor floor floor
post_season y2 4 '宇都宮ブレイバーズ' 29103529 808893072 -779789543 floor floor floor floor
